model,accuracy
lr-e7c89fde6c1bc06a2cd5fd540ff6972b,0.7737
lr-e854c1a51420987817ef76d4df08df12,0.7436
lr-e86486bf238ffe99c476280bb05a0265,0.2795
lr-e96517bd08e3b7bc34b131ea836ce00b,0.2913
lr-ea04ee35db73db2d42e9df8a9d6569d8,0.1367
lr-ea8d3477a969dfb6ca7aeaf78e6755ce,0.7813
lr-ea950176d3f31f56088fc9ad4150346a,0.1369
lr-eb1347ff724f5e4486bd9ca5c66da8d3,0.2735
lr-eb2f7011a3099cffa9db9c2a5c385dd9,0.7824
lr-ec1893f25587476ff83e110976a7e451,0.2600
lr-ec1a4331e625a2edca6aeba761006d4a,0.7237
lr-ecd05d3c5f2465e630e2a2b414801fc2,0.7919
lr-ed4b6120e21eab8a3abfabc6eacd8f76,0.1243
lr-edbbeae7acfc78ceba486a8e8dfc8136,0.4334
lr-ee1d0db3e360336d4eeb8e2e54c72fda,0.2687
lr-ef720dcfdb87f41de173b729567f8bd7,0.6348
lr-f10e1927c7d6a6df0a8e274657733fa4,0.7547
lr-f1bac7a4c85dc135ec0563170d461ff9,0.5289
lr-f22bec169d413da016ed48367bccb7de,0.1372
lr-f251f5d2fb50edf7eb5164ca7aa7d4b1,0.3184
lr-f399eb4aa45e6627ac264c2137174517,0.3531
lr-f45c195c720e80139b18c759e33f1c2e,0.1343
lr-f4fb79bcea7845afdcf8683a8029517c,0.2759
lr-f5ec451aad0a6354cf9f4923a3ec3de1,0.4782
lr-f64ea99d6897cabcdf249738828aaf2d,0.5064
lr-f67547c0b7790be143327f1acd649e7c,0.7584
lr-f68834259c21cb0b717d5d391113f5f6,0.2691
lr-f6cd4f40f4b83e5ccded26e5e29e8a61,0.7929
lr-f6cf144aa798ae8de5f55df9cbb7d90d,0.8083
lr-f77748022a12b78abff3493558bbfccb,0.2736
lr-f8034ce9196bb88a482ded834ee5f9ff,0.4503
lr-f82d4226cade7f773d92e499626ccb41,0.3159
lr-f8c984146302473d45fa08bd6833e048,0.4607
lr-f94237ac5dd08ca43bbcf38275668928,0.2787
lr-f9e3dbbc5075c88ec960a4544ac3da50,0.5867
lr-fa1167b414f5dc2a011fbb7238723fa1,0.7536
lr-fa5e475b96ec85bb95d7d9ceb1fbfa1f,0.4537
lr-fb03749161e32d69bfd8d45a84d88d88,0.3609
lr-fc1dfb4f5a9e342d58bb63222016b79c,0.7233
lr-fc3ddc36847e544deeeb74ea575317d2,0.2518
lr-fc6f69842f19d1593a5fdb2390a9bfff,0.4013
lr-fd3fa7cb29469a7c5bf48b017fe53513,0.5941
lr-feebab25355577b7b84104144ea1bb0e,0.4032
lr-feffa3074deca956280ad565d276f3dd,0.2948
lr-ff211dedf98c71dc11ed79920ef8e931,0.3592
lr-ff55ac9ac223a055800a680cafa53bed,0.7818
lr-ff5fb424e282c656105ad2559deeddd4,0.6640
lr-ff8047d6117663b7c2b7e58f4abcbbd2,0.7999
lr-ffafa333877bf3b8181ea4cac594273d,0.7508
lr_0002,0.6490
lr_0007,0.6057
lr_0008,0.6218
lr_0011,0.6990
lr_0014,0.5224
lr_0020,0.5687
lr_0026,0.6688
lr_0029,0.7146
lr_0031,0.7230
lr_0034,0.7125
lr_0036,0.7058
lr_0037,0.7125
lr_0039,0.7035
lr_0043,0.7172
lr_0044,0.7174
lr_0045,0.7138
lr_0046,0.7047
lr_0047,0.7185
lr_0052,0.5838
lr_0055,0.6010
lr_0059,0.6397
lr_0060,0.7090
lr_0061,0.6265
lr_0065,0.6427
lr_0067,0.6898
lr_0068,0.6944
lr_0069,0.6782
lr_0072,0.6907
lr_0073,0.6453
lr_0080,0.6563
lr_0081,0.7219
lr_0082,0.7138
lr_0086,0.7242
lr_0091,0.6613
lr_0093,0.3067
lr_0095,0.2963
lr_0101,0.3024
lr_0102,0.3082
lr_0103,0.2918
lr_0104,0.2951
lr_0105,0.3038
lr_0111,0.3203
lr_0112,0.2928
lr_0117,0.6658
lr_0119,0.4712
lr_0122,0.6748
lr_0124,0.6894
lr_0125,0.6751
lr_0126,0.6957
lr_0128,0.4185
lr_0129,0.4167
lr_0131,0.4180
lr_0133,0.4247
lr_0152,0.7331
lr_0153,0.7412
lr_0154,0.7278
lr_0155,0.7456
lr_0156,0.7385
lr_0159,0.7400
lr_0160,0.7442
lr_0161,0.7378
lr_0162,0.6119
lr_0163,0.6053
lr_0166,0.5281
lr_0167,0.5036
lr_0168,0.6103
lr_0169,0.7331
lr_0171,0.7280
lr_0172,0.7279
lr_0174,0.7268
lr_0175,0.7342
lr_0263,0.5906
lr_0302,0.6547
lr_0306,0.6683
lr_0342,0.5586
lr_0352,0.7935
lr_0353,0.7882
lr_0356,0.7688
lr_0358,0.7759
lr_0359,0.7938
lr_0362,0.7854
lr_0363,0.7599
lr_0364,0.7063
lr_0366,0.7821
lr_0368,0.7788
lr_0373,0.7981
lr_0387,0.7399
lr_0388,0.7462
lr_0390,0.7250
lr_0391,0.7204
lr_0393,0.7360
lr_0398,0.7203
lr_0399,0.6530
lr_0401,0.7683
lr_0402,0.7864
lr_0405,0.7879
lr_0406,0.7104
lr_0410,0.7873
lr_0416,0.7899
lr_0418,0.7616
lr_0419,0.7844
lr_0420,0.7076
lr_0421,0.7913
lr_0426,0.7770
lr_0435,0.8019
lr_0436,0.7905
lr_0439,0.7863
lr_0440,0.7686
lr_0441,0.7278
lr_0443,0.1391
lr_0463,0.7056
lr_0464,0.7070
lr_0465,0.7100
lr_0471,0.7518
lr_0472,0.7550
lr_0473,0.7445
lr_0476,0.6644
lr_0498,0.7938
lr_0504,0.7272
lr_0505,0.7937
lr_0506,0.7970
lr_0507,0.7958
lr_0508,0.7932
lr_0509,0.7744
lr_0513,0.6941
lr_0514,0.7054
lr_0517,0.6641
lr_0519,0.7666
lr_0520,0.7638
lr_0522,0.7615
lr_0525,0.6944
lr_0528,0.7515
lr_0529,0.7807
lr_0530,0.7530
lr_0537,0.7683
lr_0540,0.7647
lr_0541,0.7679
lr_0544,0.6962
lr_0546,0.6340
lr_0547,0.7884
lr_0552,0.7445
lr_0554,0.7923
lr_0555,0.7805
lr_0559,0.7567
lr_0560,0.7613
lr_0563,0.7772
lr_0564,0.7849
lr_0565,0.7843
lr_0566,0.7860
lr_0567,0.7695
lr_0573,0.7851
lr_0574,0.7656
lr_0575,0.7896
lr_0578,0.7848
lr_0579,0.7769
lr_0580,0.7586
lr_0582,0.7717
lr_0585,0.7878
lr_0587,0.7402
lr_0588,0.7065
lr_0592,0.7953
lr_0593,0.7475
lr_0594,0.7777
lr_0599,0.7653
lr_0601,0.7153
lr_0602,0.5856
lr_0603,0.7850
lr_0605,0.8050
lr_0607,0.7696
lr_0608,0.7917
lr_0610,0.8038
lr_0611,0.7987
lr_0613,0.8039
lr_0614,0.8010
lr_0616,0.7613
lr_0617,0.2574
lr_0618,0.2542
lr_0620,0.2568
lr_0621,0.2608
lr_0624,0.2427
lr_0627,0.2629
lr_0631,0.2515
lr_0633,0.2360
lr_0634,0.2289
lr_0636,0.2406
lr_0637,0.2381
lr_0639,0.7011
lr_0640,0.7682
lr_0645,0.7399
lr_0647,0.7383
lr_0651,0.6999
lr_0652,0.3784
lr_0653,0.3707
lr_0654,0.3766
lr_0657,0.3699
lr_0658,0.3687
lr_0674,0.8053
lr_0675,0.8088
lr_0676,0.8237
lr_0678,0.8117
lr_0679,0.7870
lr_0680,0.8169
lr_0684,0.8217
lr_0687,0.6318
lr_0688,0.7051
lr_0690,0.6407
lr_0691,0.6315
lr_0693,0.5442
lr_0697,0.8011
lr_1051,0.3281
lr_1057,0.3002
lr_1058,0.3613
lr_1060,0.3379
lr_1061,0.3561
lr_1062,0.3233
lr_1063,0.3241
lr_1064,0.3029
lr_1070,0.3017
lr_1081,0.3095
lr_1082,0.3100
lr_1090,0.3193
lr_1095,0.3161
lr_1101,0.3296
lr_1106,0.3049
lr_1111,0.3277
lr_1122,0.3565
lr_1123,0.3373
lr_1125,0.2979
lr_1127,0.2964
lr_1129,0.3542
lr_1131,0.2929
lr_1134,0.3057
lr_1135,0.3104
lr_1138,0.3259
lr_1145,0.2452
lr_1147,0.2248
lr_1148,0.2430
lr_1149,0.2406
lr_1150,0.2268
lr_1155,0.2521
lr_1158,0.2422
lr_1160,0.2350
lr_1162,0.2468
lr_1165,0.3986
lr_1169,0.2576
lr_1170,0.3212
lr_1176,0.3117
lr_1180,0.3045
lr_1182,0.2830
lr_1183,0.2906
lr_1199,0.3220
lr_1200,0.3246
lr_1206,0.3245
lr_1207,0.3310
lr_1208,0.3254
lr_1212,0.2879
lr_1214,0.2839
lr_1218,0.2868
lr_1221,0.3218
lr_1226,0.4274
lr_1229,0.4058
lr_1231,0.4037
lr_1232,0.3257
lr_1233,0.4077
lr_1234,0.3926
lr_1235,0.4342
lr_1236,0.4456
lr_1241,0.3420
lr_1242,0.4044
lr_1243,0.4083
lr_1252,0.4192
lr_1256,0.4130
lr_1264,0.3847
lr_1266,0.4000
lr_1272,0.4166
lr_1274,0.3594
lr_1275,0.4015
lr_1276,0.4350
lr_1277,0.3931
lr_1278,0.4059
lr_1282,0.4169
lr_1289,0.4405
lr_1290,0.3894
lr_1291,0.4060
lr_1295,0.3697
lr_1296,0.4211
lr_1297,0.3898
lr_1298,0.4039
lr_1299,0.4058
lr_1305,0.4430
lr_1310,0.4056
lr_1313,0.4404
lr_1315,0.3659
lr_1320,0.2319
lr_1321,0.2190
lr_1323,0.2174
lr_1325,0.2246
lr_1326,0.2427
lr_1327,0.2442
lr_1330,0.2393
lr_1331,0.2588
lr_1332,0.2280
lr_1333,0.2486
lr_1334,0.2255
lr_1335,0.2236
lr_1336,0.2220
lr_1342,0.3690
lr_1343,0.3384
lr_1344,0.2701
lr_1346,0.3553
lr_1350,0.3386
lr_1351,0.3343
lr_1352,0.2793
lr_1353,0.2784
lr_1355,0.2867
lr_1356,0.2854
lr_1357,0.2979
lr_1358,0.2770
lr_1373,0.4140
lr_1378,0.4190
lr_1379,0.3760
lr_1380,0.4076
lr_1381,0.4360
lr_1383,0.4256
lr_1385,0.4167
lr_1386,0.3832
lr_1390,0.4064
lr_1391,0.3891
lr_1393,0.3372
lr_1395,0.3993
lr_1397,0.4334
lr_1398,0.3938
lr_1400,0.3666
lr_1401,0.4132
lr_1403,0.3830
lr_1407,0.3546
lr_1409,0.4211
lr_1410,0.4408
lr_1411,0.4143
lr_1413,0.4323
lr_1417,0.3914
lr_1418,0.4405
lr_1424,0.4588
lr_1427,0.4162
lr_1428,0.3422
lr_1429,0.4477
lr_1431,0.4385
lr_1432,0.4554
lr_1433,0.4507
lr_1435,0.4399
lr_1439,0.4196
lr_1441,0.4527
lr_1442,0.4245
lr_1444,0.4713
lr_1445,0.4306
lr_1447,0.4595
lr_1448,0.4543
lr_1454,0.4841
lr_1455,0.4410
lr_1458,0.4172
lr_1463,0.3690
lr_1464,0.4184
lr_1468,0.4787
lr_1469,0.4018
lr_1470,0.2118
lr_1474,0.3782
lr_1475,0.3673
lr_1476,0.4202
lr_1480,0.4031
lr_1485,0.4657
lr_1490,0.4519
lr_1491,0.4224
lr_1496,0.2423
lr_1498,0.2649
lr_1503,0.2478
lr_1504,0.2427
lr_1507,0.2389
lr_1512,0.2599
lr_1513,0.3974
lr_1516,0.4375
lr_1519,0.2375
lr_1521,0.3946
lr_1524,0.3736
lr_1525,0.3859
lr_1527,0.3141
lr_1529,0.3172
lr_1533,0.3037
lr_1552,0.4566
lr_1555,0.4684
lr_1556,0.4825
lr_1558,0.4889
lr_1560,0.4586
lr_1561,0.4501
lr_1564,0.4315
lr_1566,0.4109
lr_1567,0.4380
lr_1568,0.3799
lr_1571,0.4662
lr_1574,0.4600
lr_1576,0.4618
lr_1580,0.4744
lr_1582,0.3965
lr_1584,0.4357
lr_1586,0.4379
lr_1587,0.3942
lr_1594,0.4255
lr_1595,0.3675
lr_1600,0.4776
lr_1601,0.4117
lr_1604,0.4095
lr_1606,0.4515
lr_1607,0.4285
lr_1609,0.4312
lr_1610,0.4419
lr_1612,0.3957
lr_1614,0.4563
lr_1618,0.4816
lr_1621,0.4561
lr_1622,0.4542
lr_1623,0.4402
lr_1625,0.4385
lr_1628,0.4477
lr_1629,0.4176
lr_1632,0.4514
lr_1633,0.4526
lr_1636,0.4781
lr_1639,0.4579
lr_1640,0.4288
lr_1641,0.4402
lr_1643,0.4618
lr_1651,0.4310
lr_1652,0.3882
lr_1653,0.4813
lr_1654,0.4528
lr_1655,0.4621
lr_1657,0.4277
lr_1658,0.4199
lr_1659,0.4133
lr_1666,0.4202
lr_1670,0.2561
lr_1673,0.2451
lr_1676,0.2521
lr_1677,0.2552
lr_1679,0.2501
lr_1684,0.2399
lr_1688,0.3769
lr_1689,0.3864
lr_1691,0.3703
lr_1692,0.3559
lr_1696,0.3638
lr_1700,0.3612
lr_1701,0.3528
lr_1702,0.3162
lr_1703,0.3252
lr_1705,0.3022
lr_1727,0.4408
lr_1729,0.4128
lr_1732,0.4625
lr_1735,0.4922
lr_1736,0.4284
lr_1738,0.4330
lr_1739,0.4465
lr_1740,0.4115
lr_1743,0.3512
lr_1744,0.4486
lr_1747,0.4614
lr_1748,0.4524
lr_1752,0.6242
lr_1756,0.5939
lr_1757,0.4772
lr_1758,0.6248
lr_1762,0.6163
lr_1767,0.5965
lr_1769,0.5679
lr_1771,0.5157
lr_1772,0.6017
lr_1774,0.6207
lr_1781,0.6004
lr_1789,0.6127
lr_1794,0.6072
lr_1795,0.6003
lr_1796,0.6081
lr_1799,0.6092
lr_1800,0.6257
lr_1801,0.6234
lr_1807,0.6216
lr_1811,0.6113
lr_1815,0.6011
lr_1819,0.5791
lr_1821,0.6261
lr_1822,0.6136
lr_1826,0.6119
lr_1827,0.5217
lr_1828,0.5880
lr_1829,0.5930
lr_1830,0.6184
lr_1831,0.6152
lr_1832,0.6197
lr_1845,0.2814
lr_1846,0.2892
lr_1847,0.2883
lr_1853,0.2759
lr_1859,0.2959
lr_1862,0.2939
lr_1863,0.5982
lr_1866,0.5850
lr_1868,0.6019
lr_1869,0.4292
lr_1871,0.6045
lr_1875,0.6185
lr_1882,0.3748
lr_1898,0.6321
lr_1899,0.6331
lr_1903,0.6379
lr_1904,0.6160
lr_1907,0.6284
lr_1908,0.6365
lr_1912,0.5806
lr_1913,0.6068
lr_1916,0.5845
lr_1918,0.5380
lr_1921,0.6178
lr_1933,0.7187
lr_1938,0.6804
lr_1944,0.6914
lr_1947,0.6632
lr_1948,0.6672
lr_1954,0.5278
lr_1955,0.5598
lr_1956,0.4786
lr_1957,0.5888
lr_1960,0.6364
lr_1961,0.5344
lr_1963,0.6363
lr_1964,0.4962
lr_1965,0.5875
lr_1968,0.5224
lr_1971,0.6038
lr_1973,0.6066
lr_1974,0.6366
lr_1979,0.6535
lr_1981,0.7201
lr_1984,0.6767
lr_1985,0.7147
lr_1986,0.7168
lr_1987,0.6989
lr_1992,0.7033
lr_1995,0.6712
lr_1996,0.6875
lr_1997,0.7069
lr_1998,0.7238
lr_1999,0.7230
lr_2000,0.7035
lr_2001,0.6876
lr_2002,0.6592
lr_2004,0.7134
lr_2005,0.7302
lr_2006,0.6970
lr_2010,0.6887
lr_2011,0.6771
lr_2013,0.6800
lr_2014,0.6541
lr_2017,0.2211
lr_2022,0.2022
lr_2023,0.1896
lr_2029,0.2453
lr_2033,0.2172
lr_2035,0.2309
lr_2038,0.7436
lr_2047,0.6316
lr_2051,0.7619
lr_2052,0.2809
lr_2053,0.2678
lr_2054,0.3041
lr_2057,0.2688
lr_2073,0.6717
lr_2077,0.6788
lr_2079,0.7637
lr_2083,0.6715
lr_2084,0.6614
lr_2086,0.7723
lr_2087,0.5631
lr_2091,0.6042
lr_2093,0.6048
lr_2095,0.6091
lr_2096,0.5544
lr_2098,0.6098
lr_2101,0.2648
lr_2103,0.2763
lr_2104,0.2640
lr_2106,0.2765
lr_2110,0.2516
lr_2111,0.2732
lr_2116,0.2746
lr_2119,0.2881
lr_2121,0.2692
lr_2122,0.2660
lr_2123,0.2748
lr_2124,0.2873
lr_2126,0.2774
lr_2127,0.2745
lr_2129,0.2624
lr_2130,0.2573
lr_2132,0.2619
lr_2135,0.2624
lr_2136,0.2690
lr_2137,0.2501
lr_2139,0.2634
lr_2141,0.2632
lr_2142,0.2618
lr_2143,0.2705
lr_2145,0.2639
lr_2146,0.2600
lr_2150,0.2747
lr_2159,0.2784
lr_2163,0.2744
lr_2164,0.2748
lr_2165,0.2824
lr_2166,0.2695
lr_2167,0.2743
lr_2169,0.2675
lr_2171,0.2831
lr_2172,0.2814
lr_2174,0.2761
lr_2178,0.2731
lr_2182,0.2772
lr_2184,0.2668
lr_2188,0.2633
lr_2189,0.2697
lr_2193,0.1273
lr_2206,0.1259
lr_2213,0.3010
lr_2214,0.3155
lr_2218,0.2883
lr_2219,0.2678
lr_2220,0.2778
lr_2222,0.2748
lr_2224,0.2753
lr_2230,0.1465
lr_2252,0.2665
lr_2255,0.2630
lr_2257,0.2657
lr_2258,0.2704
lr_2260,0.2615
lr_2264,0.2337
lr_2272,0.2695
lr_2274,0.2579
lr_2275,0.2604
lr_2276,0.8154
lr_2279,0.7992
lr_2280,0.8082
lr_2284,0.7894
lr_2289,0.6681
lr_2292,0.8131
lr_2293,0.8094
lr_2294,0.8250
lr_2298,0.8130
lr_2299,0.8075
lr_2303,0.6386
lr_2304,0.7344
lr_2305,0.7355
lr_2306,0.7232
lr_2310,0.8116
lr_2312,0.7446
lr_2314,0.7462
lr_2316,0.7804
lr_2318,0.7478
lr_2320,0.7540
lr_2323,0.7757
lr_2324,0.8208
lr_2329,0.8204
lr_2330,0.8082
lr_2335,0.8155
lr_2337,0.8163
lr_2340,0.8096
lr_2341,0.8167
lr_2342,0.8136
lr_2345,0.6983
lr_2346,0.8110
lr_2347,0.7998
lr_2350,0.8090
lr_2352,0.6731
lr_2353,0.8188
lr_2357,0.8199
lr_2363,0.8036
lr_2364,0.8290
lr_2373,0.1346
lr_2381,0.1358
lr_2384,0.1256
lr_2388,0.8425
lr_2389,0.8411
lr_2392,0.8108
lr_2400,0.7858
lr_2405,0.1997
lr_2426,0.8142
lr_2429,0.8327
lr_2433,0.8185
lr_2435,0.8259
lr_2436,0.8404
lr_2437,0.7012
lr_2438,0.6847
lr_2439,0.6954
lr_2447,0.7804
lr_2449,0.7833
lr_2450,0.8328
lr_2627,0.8014
lr_2628,0.8014
lr_2630,0.8235
lr_2631,0.8001
lr_2633,0.8139
lr_2634,0.8244
lr_2637,0.8183
lr_2641,0.8226
lr_2642,0.8299
lr_2643,0.7905
lr_2644,0.8254
lr_2645,0.8237
lr_2647,0.7780
lr_2650,0.8099
lr_2653,0.7629
lr_2656,0.8479
lr_2657,0.8352
lr_2661,0.8451
lr_2662,0.8402
lr_2663,0.8492
lr_2665,0.8396
lr_2667,0.8541
lr_2668,0.8398
lr_2669,0.8455
lr_2671,0.8442
lr_2673,0.8474
lr_2674,0.8453
lr_2676,0.8199
lr_2677,0.8226
lr_2678,0.8367
lr_2683,0.7973
lr_2684,0.8255
lr_2685,0.7656
lr_2689,0.8349
lr_2691,0.8332
lr_2692,0.8429
lr_2695,0.7902
lr_2698,0.8005
lr_2700,0.8295
lr_2703,0.8138
lr_2707,0.8137
lr_2708,0.8287
lr_2710,0.8357
lr_2711,0.8470
lr_2712,0.8446
lr_2713,0.8449
lr_2714,0.8350
lr_2716,0.8347
lr_2718,0.3564
lr_2722,0.3464
lr_2724,0.3471
lr_2725,0.3518
lr_2728,0.3118
lr_2732,0.3266
lr_2741,0.7870
lr_2742,0.7409
lr_2744,0.5824
lr_2747,0.7674
lr_2749,0.7596
lr_2750,0.7708
lr_2755,0.6728
lr_2756,0.6945
lr_2773,0.8599
lr_2777,0.8569
lr_2779,0.8552
lr_2782,0.8617
lr_2784,0.8556
lr_2788,0.7750
lr_2791,0.7993
lr_2792,0.7964
lr_2794,0.8555
lr_2797,0.8555
lr_2798,0.8546
lr_2799,0.8512
lr_2804,0.3770
lr_2806,0.3793
lr_2807,0.2641
lr_2809,0.4045
lr_2811,0.4011
lr_2813,0.3544
lr_2826,0.3732
lr_2828,0.2571
lr_2831,0.3076
lr_2832,0.3102
lr_2834,0.3085
lr_2835,0.2561
lr_2836,0.3228
lr_2837,0.3131
lr_2838,0.3152
lr_2841,0.3063
lr_2845,0.3259
lr_2846,0.3345
lr_2847,0.3092
lr_2848,0.3085
lr_2850,0.4007
lr_2854,0.3653
lr_2856,0.3086
lr_2858,0.3738
lr_2859,0.3744
lr_2864,0.3890
lr_2866,0.4125
lr_2867,0.3885
lr_2870,0.2616
lr_2873,0.3802
lr_2874,0.4246
lr_2876,0.3698
lr_2877,0.2712
lr_2883,0.3521
lr_2884,0.2579
lr_2885,0.3571
lr_2887,0.3557
lr_2889,0.3550
lr_2890,0.3529
lr_2891,0.2534
lr_2914,0.4730
lr_2919,0.2573
lr_2920,0.3584
lr_2921,0.3545
lr_2923,0.3531
lr_2924,0.3640
lr_2925,0.3480
lr_2952,0.3526
lr_2953,0.3216
lr_2955,0.3534
lr_2956,0.3639
lr_2961,0.2473
lr_2962,0.3339
lr_2970,0.3278
lr_2972,0.3276
lr_2974,0.3211
lr_2975,0.2575
lr_2976,0.5592
lr_2978,0.5669
lr_2979,0.5398
lr_2981,0.5861
lr_2982,0.6848
lr_2988,0.5321
lr_2989,0.7223
lr_2991,0.5424
lr_2992,0.5261
lr_2997,0.4906
lr_3000,0.5613
lr_3004,0.4408
lr_3008,0.4714
lr_3010,0.5401
lr_3011,0.4226
lr_3015,0.4489
lr_3016,0.4352
lr_3020,0.4441
lr_3023,0.4576
lr_3024,0.5312
lr_3025,0.5520
lr_3026,0.5032
lr_3030,0.5364
lr_3035,0.5347
lr_3036,0.5411
lr_3037,0.5467
lr_3038,0.7405
lr_3039,0.5280
lr_3041,0.5193
lr_3042,0.5340
lr_3043,0.5620
lr_3044,0.5379
lr_3045,0.7233
lr_3048,0.5315
lr_3050,0.5428
lr_3053,0.5272
lr_3054,0.5375
lr_3055,0.5656
lr_3057,0.5629
lr_3058,0.5694
lr_3066,0.7003
lr_3090,0.7774
lr_3091,0.7847
lr_3093,0.7593
lr_3095,0.5968
lr_3096,0.6115
lr_3097,0.5921
lr_3098,0.5916
lr_3101,0.8090
lr_3123,0.4759
lr_3125,0.5232
lr_3128,0.5176
lr_3129,0.7084
lr_3131,0.4867
lr_3134,0.5014
lr_3136,0.6985
lr_3138,0.3543
lr_3140,0.3789
lr_3144,0.4593
lr_3145,0.4635
lr_3147,0.4801
lr_3148,0.4557
lr_3149,0.4864
lr_3150,0.5452
lr_3505,0.8042
lr_3509,0.7971
lr_3514,0.7176
lr_3520,0.7732
lr_3522,0.7861
lr_3525,0.7916
lr_3528,0.7538
lr_3530,0.7439
lr_3531,0.7334
lr_3532,0.7338
lr_3533,0.7513
lr_3536,0.7379
lr_3537,0.7397
lr_3540,0.7507
lr_3543,0.7439
lr_3544,0.7495
lr_3548,0.7447
lr_3549,0.7910
lr_3551,0.8146
lr_3552,0.7924
lr_3553,0.8067
lr_3554,0.8098
lr_3555,0.8172
lr_3558,0.7940
lr_3559,0.8081
lr_3560,0.7772
lr_3566,0.8071
lr_3567,0.7944
lr_3568,0.7844
lr_3573,0.8058
lr_3574,0.7876
lr_3576,0.8036
lr_3577,0.7376
lr_3579,0.8092
lr_3580,0.8140
lr_3581,0.7994
lr_3585,0.7969
lr_3587,0.8002
lr_3589,0.8114
lr_3591,0.8242
lr_3595,0.1264
lr_3596,0.1609
lr_3598,0.1311
lr_3608,0.1368
lr_3611,0.1351
lr_3614,0.8360
lr_3615,0.8322
lr_3618,0.7517
lr_3625,0.8127
lr_3626,0.8377
lr_3627,0.2361
lr_3628,0.2422
lr_3632,0.2545
lr_3656,0.8014
lr_3657,0.7953
lr_3659,0.8053
lr_3662,0.6885
lr_3667,0.6764
lr_3670,0.7588
lr_3675,0.8164
lr_3676,0.7737
lr_3677,0.7728
lr_3682,0.5266
lr_3683,0.7755
lr_3684,0.7271
lr_3687,0.7652
lr_3688,0.7153
lr_3689,0.5179
lr_3690,0.7913
lr_3694,0.7654
lr_3699,0.7636
lr_3700,0.7879
lr_3701,0.7671
lr_3702,0.6928
lr_3704,0.7270
lr_3706,0.7271
lr_3708,0.7436
lr_3712,0.7377
lr_3713,0.7226
lr_3714,0.7339
lr_3715,0.7304
lr_3717,0.7003
lr_3718,0.7131
lr_3720,0.7274
lr_3726,0.7764
lr_3729,0.7731
lr_3730,0.7201
lr_3733,0.7784
lr_3734,0.7736
lr_3735,0.7772
lr_3736,0.7794
lr_3737,0.7534
lr_3741,0.7754
lr_3746,0.7867
lr_3747,0.7573
lr_3749,0.7597
lr_3751,0.6990
lr_3752,0.4545
lr_3755,0.7712
lr_3757,0.7787
lr_3763,0.7847
lr_3764,0.7909
lr_3769,0.1270
lr_3771,0.1548
lr_3782,0.1515
lr_3789,0.8041
lr_3791,0.8093
lr_3796,0.7263
lr_3802,0.1573
lr_3806,0.1563
lr_3823,0.7732
lr_3825,0.7766
lr_3828,0.7849
lr_3833,0.7742
lr_3834,0.7874
lr_3836,0.7412
lr_3839,0.6801
lr_3842,0.6925
lr_3843,0.1508
lr_3846,0.7461
lr_3848,0.7601
lr_3851,0.7154
lr_3853,0.7237
lr_3855,0.7336
lr_3858,0.7174
lr_3866,0.7238
lr_3867,0.7189
lr_3869,0.7189
lr_3870,0.7492
lr_3872,0.7128
lr_3875,0.7288
lr_3878,0.7373
lr_3883,0.6441
lr_3885,0.7189
lr_3890,0.6576
lr_3891,0.6614
lr_3895,0.6785
lr_3899,0.7176
lr_3900,0.7225
lr_3901,0.7131
lr_3903,0.7142
lr_3904,0.7354
lr_3905,0.7225
lr_3906,0.7798
lr_3908,0.7410
lr_3909,0.7276
lr_3910,0.7138
lr_3911,0.7366
lr_3913,0.7130
lr_3917,0.7251
lr_3921,0.7290
lr_3924,0.7143
lr_3925,0.7503
lr_3927,0.7361
lr_3928,0.7250
lr_3930,0.7280
lr_3932,0.7121
lr_3934,0.7712
lr_3936,0.7147
lr_3938,0.7263
lr_3940,0.7376
lr_3950,0.1309
lr_3956,0.1478
lr_3958,0.1373
lr_3960,0.1489
lr_3964,0.7513
lr_3967,0.7905
lr_3970,0.7077
lr_3971,0.6833
lr_3972,0.7004
lr_3978,0.2243
lr_3981,0.2429
lr_4007,0.7203
lr_4008,0.7269
lr_4012,0.5968
lr_4014,0.5790
lr_4015,0.5478
lr_4016,0.5414
lr_4017,0.5519
lr_4019,0.6772
lr_4020,0.6836
lr_4021,0.6845
lr_4022,0.6826
lr_4023,0.6932
lr_4027,0.7947
lr_4028,0.7748
lr_4031,0.8070
lr_4032,0.7747
lr_4038,0.7988
lr_4039,0.7611
lr_4040,0.7347
lr_4041,0.7642
lr_4042,0.7891
lr_4044,0.7850
lr_4046,0.7729
lr_4053,0.7405
lr_4054,0.7839
lr_4055,0.7917
lr_4058,0.7921
lr_4059,0.7911
lr_4061,0.7836
lr_4062,0.7790
lr_4066,0.7882
lr_4067,0.8195
lr_4069,0.7882
lr_4070,0.7859
lr_4077,0.8025
lr_4081,0.7980
lr_4082,0.7555
lr_4083,0.7535
lr_4084,0.7917
lr_4086,0.7319
lr_4089,0.8073
lr_4091,0.7793
lr_4093,0.8134
lr_4094,0.7700
lr_4097,0.7790
lr_4098,0.7635
lr_4102,0.7250
lr_4103,0.7864
lr_4104,0.7971
lr_4107,0.8188
lr_4111,0.8115
lr_4112,0.8068
lr_4113,0.8167
lr_4117,0.2823
lr_4118,0.2561
lr_4123,0.2951
lr_4126,0.2813
lr_4129,0.3300
lr_4132,0.2810
lr_4136,0.2445
lr_4139,0.8025
lr_4142,0.7803
lr_4145,0.7929
